|dakkon blackblade|legendary|creature||human warrior|*/*|{^^WWUUUUBB}|@'s power and toughness are each equal to the number of lands you control.|
|malachite talisman||artifact||||{^^}|whenever a player casts a green spell, you may pay {^^^}. if you do, untap target permanent.|

|sphinx of uthuun||creature||sphinx|&^^^^^/&^^^^^^|{^^^^^UUUU}|flying\when @ enters the battlefield, reveal the top five cards of your library. an opponent separates those cards into two piles. put one pile into your hand and the other into your graveyard.|

|volcanic geyser||instant||||{XXRRRR}|@ deals X damage to target creature or player.|

|crash landing||instant||||{^^GG}|target creature with flying loses flying until end of turn. @ deals damage to that creature equal to the number of forests you control.|

|vedalken plotter||creature||vedalken wizard|&^/&^|{^^UU}|when @ enters the battlefield, exchange control of target land you control and target land an opponent controls.|

|beast of burden||artifact creature||golem|*/*|{^^^^^^}|@'s power and toughness are each equal to the number of creatures on the battlefield.|

|marble titan||creature||giant|&^^^/&^^^|{^^^WW}|creatures with power &^^^ or greater don't untap during their controllers' untap steps.|

|calciderm||creature||beast|&^^^^^/&^^^^^|{^^WWWW}|shroud\vanishing &^^^^|

|honored hierarch||creature||human druid|&^/&^|{GG}|renown &^\as long as @ is renowned, it has vigilance and "T: add one mana of any color to your mana pool."|

|firewake sliver||creature||sliver|&^/&^|{^RRGG}|all sliver creatures have haste.\all slivers have "{^}, sacrifice this permanent: target sliver creature gets +&^^/+&^^ until end of turn."|

|fallow wurm||creature||wurm|&^^^^/&^^^^|{^^GG}|when @ enters the battlefield, sacrifice it unless you discard a land card.|

|deathmist raptor||creature||lizard beast|&^^^/&^^^|{^GGGG}|deathtouch\megamorph {^^^^GG}\whenever a permanent you control is turned face up, you may return @ from your graveyard to the battlefield face up or face down.|

|blue elemental blast||instant||||{UU}|[&^ = uncast target red spell. = destroy target red permanent.]|

|goblin lackey||creature||goblin|&^/&^|{RR}|whenever @ deals damage to a player, you may put a goblin permanent card from your hand onto the battlefield.|

|llanowar wastes||land|||||T: add {CC} to your mana pool.\T: add {BB} or {GG} to your mana pool. @ deals &^ damage to you.|

|rune of protection: lands||enchantment||||{^WW}|cycling {^^}\{WW}: the next time a land source of your choice would deal damage to you this turn, prevent that damage.|

|lumengrid sentinel||creature||human wizard|&^/&^^|{^^UU}|flying\whenever an artifact enters the battlefield under your control, you may tap target permanent.|

|giant cockroach||creature||insect|&^^^^/&^^|{^^^BB}||

|lightning javelin||sorcery||||{^^^RR}|@ deals &^^^ damage to target creature or player. scry &^.|

|gutless ghoul|snow|creature||zombie|&^^/&^^|{^^BB}|{^}, sacrifice a creature: you gain &^^ life.|

|lin sivvi, defiant hero|legendary|creature||human rebel|&^/&^^^|{^WWWW}|{XX}, T: search your library for a rebel permanent card with converted mana cost X or less and put it onto the battlefield. then shuffle your library.\{^^^}: put target rebel card from your graveyard on the bottom of your library.|

|time elemental||creature||elemental|&/&^^|{^^UU}|when @ attacks or blocks, at end of combat, sacrifice it and it deals &^^^^^ damage to you.\{^^UUUU}, T: return target permanent that isn't enchanted to its owner's hand.|

|porcelain legionnaire||artifact creature||soldier|&^^^/&^|{^^WP}|\first strike|

|supreme exemplar||creature||elemental|&^^^^^^^^^^/&^^^^^^^^^^|{^^^^^^UU}|flying\champion an elemental|

|nacatl war~pride||creature||cat warrior|&^^^/&^^^|{^^^GGGGGG}|@ must be blocked by exactly one creature if able.\whenever @ attacks, put X tokens that are copies of @ onto the battlefield tapped and attacking, where X is the number of creatures defending player controls. exile the tokens at the beginning of the next end step.|

|parasitic strix||artifact creature||bird|&^^/&^^|{^^UU}|flying\when @ enters the battlefield, if you control a black permanent, target player loses &^^ life and you gain &^^ life.|

|gravelgill duo||creature||merfolk rogue warrior|&^^/&^|{^^UB}|whenever you cast a blue spell, @ gets +&^/+&^ until end of turn.\whenever you cast a black spell, @ gains fear until end of turn.|

|azorius justiciar||creature||human wizard|&^^/&^^|{^^WWWW}|when @ enters the battlefield, detain up to two target creatures your opponents control.|

|center soul||instant||||{^WW}|rebound\target creature you control gains protection from the color of your choice until end of turn.|

|horn of ramos||artifact||||{^^^}|T: add {GG} to your mana pool.\sacrifice @: add {GG} to your mana pool.|

|maggot therapy||enchantment||aura||{^^BB}|enchant creature\flash\enchanted creature gets +&^^/-&^^.|

|scrubland||land||plains swamp||||

|artifact ward||enchantment||aura||{WW}|enchant creature\enchanted creature can't be blocked by artifact creatures.\prevent all damage that would be dealt to enchanted creature by artifact sources.\enchanted creature can't be the target of abilities from artifact sources.|

|neko~te||artifact||equipment||{^^^}|equip {^^}\whenever equipped creature deals damage to a creature, tap that creature. that creature doesn't untap during its controller's untap step for as long as @ remains on the battlefield.\whenever equipped creature deals damage to a player, that player loses &^ life.|

|tangleroot||artifact||||{^^^}|whenever a player casts a creature spell, that player adds {GG} to his or her mana pool.|

|gnarled mass||creature||spirit|&^^^/&^^^|{^GGGG}||

|disciple of grace||creature||human cleric|&^/&^^|{^WW}|protection from black\cycling {^^}|

|skeletal grimace||enchantment||aura||{^BB}|enchant creature\enchanted creature gets +&^/+&^ and has "{BB}: regenerate this creature."|

|urborg stalker||creature||horror|&^^/&^^^^|{^^^BB}|at the beginning of each player's upkeep, if that player controls a nonblack, nonland permanent, @ deals &^ damage to that player.|

|conjured currency||enchantment||||{^^^^^UU}|at the beginning of your upkeep, you may exchange control of @ and target permanent you neither own nor control.|

|nullmage advocate||creature||insect druid|&^^/&^^^|{^^GG}|T: return two target cards from an opponent's graveyard to his or her hand. destroy target artifact or enchantment.|

|brood monitor||creature||eldrazi drone|&^^^/&^^^|{^^^^GGGG}|devoid\when @ enters the battlefield, put three &^/&^ colorless eldrazi scion creature tokens onto the battlefield. they have "sacrifice this creature: add {CC} to your mana pool."|

|daru mender||creature||human cleric|&^/&^|{WW}|morph {WW}\when @ is turned face up, regenerate target creature.|

|treasure hunter||creature||human|&^^/&^^|{^^WW}|when @ enters the battlefield, you may return target artifact card from your graveyard to your hand.|

|vastwood hydra||creature||hydra|&/&|{XXGGGG}|@ enters the battlefield with X +&^/+&^ counters on it.\when @ dies, you may distribute a number of +&^/+&^ counters equal to the number of +&^/+&^ counters on @ among any number of creatures you control.|

|illusory ambusher||creature||cat illusion|&^^^^/&^|{^^^^UU}|flash\whenever @ is dealt damage, draw that many cards.|

|knight of new alara||creature||human knight|&^^/&^^|{^^GGWW}|each other multicolored creature you control gets +&^/+&^ for each of its colors.|

|agent of erebos||enchantment creature||zombie|&^^/&^^|{^^^BB}|constellation ~ whenever @ or another enchantment enters the battlefield under your control, exile all cards from target player's graveyard.|

|acquire||sorcery||||{^^^UUUU}|search target opponent's library for an artifact card and put that card onto the battlefield under your control. then that player shuffles his or her library.|

|inner~flame igniter||creature||elemental warrior|&^^/&^^|{^^RR}|{^^RR}: creatures you control get +&^/+& until end of turn. if this is the third time this ability has resolved this turn, creatures you control gain first strike until end of turn.|

|storm crow||creature||bird|&^/&^^|{^UU}|flying|

|urborg drake||creature||drake|&^^/&^^^|{^UUBB}|flying\@ attacks each turn if able.|

|arachnus web||enchantment||aura||{^^GG}|enchant creature\enchanted creature can't attack or block, and its activated abilities can't be activated.\at the beginning of the end step, if enchanted creature's power is &^^^^ or greater, destroy @.|

|turn to dust||instant||||{GG}|destroy target equipment. add {GG} to your mana pool.|

|quickening licid||creature||licid|&^/&^|{^WW}|{^WW}, T: @ loses this ability and becomes an aura enchantment with enchant creature. attach it to target creature. you may pay {WW} to end this effect.\enchanted creature has first strike.|

|silumgar's scorn||instant||||{UUUU}|as an additional cost to cast @, you may reveal a dragon card from your hand.\uncast target spell unless its controller pays {^}. if you revealed a dragon card or controlled a dragon as you cast @, uncast that spell instead.|

|crucible of the spirit dragon||land|||||T: add {CC} to your mana pool.\{^}, T: put a % counter on @.\T, remove X % counters from @: add X mana in any combination of colors to your mana pool. spend this mana only to cast dragon spells or activate abilities of dragons.\countertype % storage|

|mossfire egg||artifact||||{^}|{^^}, T, sacrifice @: add {RRGG} to your mana pool. draw a card.|

|grixis grimblade||creature||zombie warrior|&^^/&^|{URBB}|as long as you control another multicolored permanent, @ gets +&^/+&^ and has deathtouch.|

|trostani's summoner||creature||elf shaman|&^/&^|{^^^^^GGWW}|when @ enters the battlefield, put a &^^/&^^ white knight creature token with vigilance, a &^^^/&^^^ green centaur creature token, and a &^^^^/&^^^^ green rhino creature token with trample onto the battlefield.|

|norwood priestess||creature||elf druid|&^/&^|{^^GGGG}|T: you may put a green creature card from your hand onto the battlefield. activate this ability only during your turn, before attackers are declared.|

|changeling berserker||creature||shapeshifter|&^^^^^/&^^^|{^^^RR}|changeling\haste\champion a creature|

|akroma's memorial|legendary|artifact||||{^^^^^^^}|creatures you control have flying, first strike, vigilance, trample, haste, and protection from black and from red.|

|broodwarden||creature||eldrazi drone|&^^^^/&^^^^|{^^^GGGG}|eldrazi spawn creatures you control get +&^^/+&^.|

|waveskimmer aven||creature||bird soldier|&^^/&^^^^|{^^GGWWUU}|flying\exalted|

|glorious anthem||enchantment||||{^WWWW}|creatures you control get +&^/+&^.|

|call the gatewatch||sorcery||||{^^WW}|search your library for a planeswalker card, reveal it, and put it into your hand. then shuffle your library.|

|akroma, angel of fury|legendary|creature||angel|&^^^^^^/&^^^^^^|{^^^^^RRRRRR}|flying\trample\protection from white and from blue\morph {^^^RRRRRR}\@ can't be uncasted.\{RR}: @ gets +&^/+& until end of turn.|

|decompose||sorcery||||{^BB}|exile up to three target cards from a single graveyard.|

|maze rusher||creature||elemental|&^^^^^^/&^^^|{^^^^^RR}|haste\multicolored creatures you control have haste.|

|dash hopes||instant||||{BBBB}|when you cast @, any player may pay &^^^^^ life. if a player does, uncast @.\uncast target spell.|

|struggle for sanity||sorcery||||{^^BBBB}|target opponent reveals his or her hand. that player exiles a card from it, then you exile a card from it. repeat this process until all cards in that hand have been exiled. that player returns the cards he or she exiled this way to his or her hand and puts the rest into his or her graveyard.|

|darba||creature||bird beast|&^^^^^/&^^^^|{^^^GG}|at the beginning of your upkeep, sacrifice @ unless you pay {GGGG}.|

|wirewood elf||creature||elf druid|&^/&^^|{^GG}|T: add {GG} to your mana pool.|

|deadshot||sorcery||||{^^^RR}|tap target creature. it deals damage equal to its power to another target creature.|

|jade idol||artifact||||{^^^^}|whenever you cast a spirit or arcane spell, @ becomes a &^^^^/&^^^^ spirit artifact creature until end of turn.|

|kheru bloodsucker||creature||vampire|&^^/&^^|{^^BB}|whenever a creature you control with toughness &^^^^ or greater dies, each opponent loses &^^ life and you gain &^^ life.\{^^BB}, sacrifice another creature: put a +&^/+&^ counter on @.|

|rusted slasher||artifact creature||horror|&^^^^/&^|{^^^^}|sacrifice an artifact: regenerate @.|

|ringwarden owl||creature||bird|&^^^/&^^^|{^^^UUUU}|flying\prowess|

|knucklebone witch||creature||goblin shaman|&^/&^|{BB}|whenever a goblin you control is put into a graveyard from the battlefield, you may put a +&^/+&^ counter on @.|

|cerulean sphinx||creature||sphinx|&^^^^^/&^^^^^|{^^^^UUUU}|flying\{UU}: @'s owner shuffles it into his or her library.|

|sylvok explorer||creature||human druid|&^/&^|{^GG}|T: add to your mana pool one mana of any color that a land an opponent controls could produce.|

|stitch together||sorcery||||{BBBB}|return target creature card from your graveyard to your hand.\threshold ~ return that card from your graveyard to the battlefield instead if seven or more cards are in your graveyard.|

|miscalculation||instant||||{^UU}|cycling {^^}\uncast target spell unless its controller pays {^^}.|

|chromatic star||artifact||||{^}|{^}, T, sacrifice @: add one mana of any color to your mana pool.\when @ is put into a graveyard from the battlefield, draw a card.|
